id,item_id,page_number,title,loc_page_url,image,transcript,generation_review_flags,human_review_required
mss246610044_page_0156,mss246610044,156,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=156&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0156.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0156.txt,unclosed_historical_document,True
mss246610044_page_0157,mss246610044,157,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=157&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0157.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0157.txt,,True
mss246610044_page_0158,mss246610044,158,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=158&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0158.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0158.txt,,True
mss246610044_page_0159,mss246610044,159,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=159&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0159.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0159.txt,,True
mss246610044_page_0160,mss246610044,160,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=160&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0160.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0160.txt,,True
mss246610044_page_0161,mss246610044,161,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=161&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0161.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0161.txt,,True
mss246610044_page_0162,mss246610044,162,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=162&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0162.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0162.txt,unclosed_historical_document,True
mss246610044_page_0163,mss246610044,163,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=163&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0163.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0163.txt,,True
mss246610044_page_0164,mss246610044,164,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=164&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0164.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0164.txt,,True
mss246610044_page_0165,mss246610044,165,"Charles Hamlin Papers: Index-digest of Charles S. Hamlin Diaries, 1887-1936; 1928, Aug. 1 - 1929, Mar. 22",https://www.loc.gov/resource/mss24661m.mss24661-018_0008_0262?sp=165&st=image,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0165.jpg,loc_charles_hamlin_transcription/batch_003/mss246610044/mss246610044_page_0165.txt,unclosed_historical_document,True
